,base_score,lr,reg_alpha,reg_lambda,test_accuracy,train_accuracy
155,0.5,0.001,0.0,0.2,0.9749153892096357,0.9733698357391737
156,0.6,0.001,0.0,0.2,0.9753135576348796,0.9733698357391737
157,0.4,0.001,0.0,0.5,0.9625721680270755,0.9594823295171727
158,0.5,0.001,0.0,0.5,0.9753135576348796,0.9733698357391737
159,0.6,0.001,0.0,0.5,0.9753135576348796,0.9733698357391737
160,0.4,0.001,0.0,0.8,0.9625721680270755,0.9594823295171727
161,0.5,0.001,0.0,0.8,0.9753135576348796,0.9733698357391737
162,0.6,0.001,0.0,0.8,0.9753135576348796,0.9733698357391737
163,0.4,0.001,0.0,1.0,0.9625721680270755,0.9594823295171727
164,0.5,0.001,0.0,1.0,0.9753135576348796,0.9733698357391737
165,0.6,0.001,0.0,1.0,0.9753135576348796,0.9733698357391737
166,0.4,0.001,0.2,0.0,0.9625721680270755,0.9594823295171727
167,0.5,0.001,0.2,0.0,0.9749153892096357,0.9733698357391737
168,0.6,0.001,0.2,0.0,0.9753135576348796,0.9733698357391737
169,0.4,0.001,0.2,0.2,0.9625721680270755,0.9594823295171727
170,0.5,0.001,0.2,0.2,0.9753135576348796,0.9733698357391737
171,0.6,0.001,0.2,0.2,0.9753135576348796,0.9733698357391737
172,0.4,0.001,0.2,0.5,0.9625721680270755,0.9594823295171727
173,0.5,0.001,0.2,0.5,0.9749153892096357,0.9733698357391737
174,0.6,0.001,0.2,0.5,0.9753135576348796,0.9733698357391737
175,0.4,0.001,0.2,0.8,0.9625721680270755,0.9594823295171727
176,0.5,0.001,0.2,0.8,0.9749153892096357,0.9733698357391737
177,0.6,0.001,0.2,0.8,0.9753135576348796,0.9733698357391737
178,0.4,0.001,0.2,1.0,0.9625721680270755,0.9594823295171727
179,0.5,0.001,0.2,1.0,0.9749153892096357,0.9733698357391737
180,0.6,0.001,0.2,1.0,0.9753135576348796,0.9733698357391737
181,0.4,0.001,0.5,0.0,0.9625721680270755,0.9594823295171727
182,0.5,0.001,0.5,0.0,0.9749153892096357,0.9733698357391737
183,0.6,0.001,0.5,0.0,0.9753135576348796,0.9733698357391737
184,0.4,0.001,0.5,0.2,0.9625721680270755,0.9594823295171727
185,0.5,0.001,0.5,0.2,0.9749153892096357,0.9733698357391737
186,0.6,0.001,0.5,0.2,0.9753135576348796,0.9733698357391737
187,0.4,0.001,0.5,0.5,0.9625721680270755,0.9594823295171727
188,0.5,0.001,0.5,0.5,0.9749153892096357,0.9733698357391737
189,0.6,0.001,0.5,0.5,0.9753135576348796,0.9733698357391737
190,0.4,0.001,0.5,0.8,0.9625721680270755,0.9594823295171727
191,0.5,0.001,0.5,0.8,0.9749153892096357,0.9733698357391737
192,0.6,0.001,0.5,0.8,0.9753135576348796,0.9733698357391737
193,0.4,0.001,0.5,1.0,0.9625721680270755,0.9594823295171727
194,0.5,0.001,0.5,1.0,0.9749153892096357,0.9733698357391737
195,0.6,0.001,0.5,1.0,0.9753135576348796,0.9733698357391737
196,0.4,0.001,0.8,0.0,0.9625721680270755,0.9594823295171727
197,0.5,0.001,0.8,0.0,0.9749153892096357,0.9733698357391737
198,0.6,0.001,0.8,0.0,0.9753135576348796,0.9733698357391737
199,0.4,0.001,0.8,0.2,0.9625721680270755,0.9594823295171727
200,0.5,0.001,0.8,0.2,0.9749153892096357,0.9733698357391737
201,0.6,0.001,0.8,0.2,0.9753135576348796,0.9733698357391737
202,0.4,0.001,0.8,0.5,0.9625721680270755,0.9594823295171727
203,0.5,0.001,0.8,0.5,0.9749153892096357,0.9733698357391737
204,0.6,0.001,0.8,0.5,0.9753135576348796,0.9733698357391737
205,0.4,0.001,0.8,0.8,0.9625721680270755,0.9594823295171727
206,0.5,0.001,0.8,0.8,0.9749153892096357,0.9733698357391737
207,0.6,0.001,0.8,0.8,0.9753135576348796,0.9733698357391737
208,0.4,0.001,0.8,1.0,0.9625721680270755,0.9594823295171727
209,0.5,0.001,0.8,1.0,0.9749153892096357,0.9733698357391737
210,0.6,0.001,0.8,1.0,0.9753135576348796,0.9733698357391737
211,0.4,0.001,1.0,0.0,0.9625721680270755,0.9594823295171727
212,0.5,0.001,1.0,0.0,0.9749153892096357,0.9733698357391737
213,0.6,0.001,1.0,0.0,0.9753135576348796,0.9733698357391737
214,0.4,0.001,1.0,0.2,0.9625721680270755,0.9594823295171727
215,0.5,0.001,1.0,0.2,0.9749153892096357,0.9733698357391737
216,0.6,0.001,1.0,0.2,0.9753135576348796,0.9733698357391737
217,0.4,0.001,1.0,0.5,0.9625721680270755,0.9594823295171727
218,0.5,0.001,1.0,0.5,0.9749153892096357,0.9733698357391737
219,0.6,0.001,1.0,0.5,0.9753135576348796,0.9733698357391737
220,0.4,0.001,1.0,0.8,0.9625721680270755,0.9594823295171727
221,0.5,0.001,1.0,0.8,0.9749153892096357,0.9733698357391737
222,0.6,0.001,1.0,0.8,0.9753135576348796,0.9733698357391737
223,0.4,0.001,1.0,1.0,0.9625721680270755,0.9594823295171727
224,0.5,0.001,1.0,1.0,0.9749153892096357,0.9733698357391737
225,0.6,0.001,1.0,1.0,0.9753135576348796,0.9733698357391737
226,0.4,0.0001,0.0,0.0,0.7023691021302011,0.689198606271777
227,0.5,0.0001,0.0,0.0,0.9370893888114673,0.9341961174713788
228,0.6,0.0001,0.0,0.0,0.2976308978697989,0.310801393728223
229,0.4,0.0001,0.0,0.2,0.7023691021302011,0.689198606271777
230,0.5,0.0001,0.0,0.2,0.9370893888114673,0.9341961174713788
231,0.6,0.0001,0.0,0.2,0.2976308978697989,0.310801393728223
232,0.4,0.0001,0.0,0.5,0.7023691021302011,0.689198606271777
233,0.5,0.0001,0.0,0.5,0.9374875572367112,0.934245893479343
234,0.6,0.0001,0.0,0.5,0.2976308978697989,0.310801393728223
235,0.4,0.0001,0.0,0.8,0.7023691021302011,0.689198606271777
236,0.5,0.0001,0.0,0.8,0.9374875572367112,0.934245893479343
237,0.6,0.0001,0.0,0.8,0.2976308978697989,0.310801393728223
238,0.4,0.0001,0.0,1.0,0.7023691021302011,0.689198606271777
239,0.5,0.0001,0.0,1.0,0.9374875572367112,0.934245893479343
240,0.6,0.0001,0.0,1.0,0.2976308978697989,0.310801393728223
241,0.4,0.0001,0.2,0.0,0.7023691021302011,0.689198606271777
242,0.5,0.0001,0.2,0.0,0.9374875572367112,0.934245893479343
243,0.6,0.0001,0.2,0.0,0.2976308978697989,0.310801393728223
244,0.4,0.0001,0.2,0.2,0.7023691021302011,0.689198606271777
245,0.5,0.0001,0.2,0.2,0.9374875572367112,0.934245893479343
246,0.6,0.0001,0.2,0.2,0.2976308978697989,0.310801393728223
247,0.4,0.0001,0.2,0.5,0.7023691021302011,0.689198606271777
248,0.5,0.0001,0.2,0.5,0.9374875572367112,0.934245893479343
249,0.6,0.0001,0.2,0.5,0.2976308978697989,0.310801393728223
250,0.4,0.0001,0.2,0.8,0.7023691021302011,0.689198606271777
251,0.5,0.0001,0.2,0.8,0.9374875572367112,0.934245893479343
252,0.6,0.0001,0.2,0.8,0.2976308978697989,0.310801393728223
253,0.4,0.0001,0.2,1.0,0.7023691021302011,0.689198606271777
254,0.5,0.0001,0.2,1.0,0.9374875572367112,0.934245893479343
255,0.6,0.0001,0.2,1.0,0.2976308978697989,0.310801393728223
256,0.4,0.0001,0.5,0.0,0.7023691021302011,0.689198606271777
257,0.5,0.0001,0.5,0.0,0.9374875572367112,0.934245893479343
258,0.6,0.0001,0.5,0.0,0.2976308978697989,0.310801393728223
259,0.4,0.0001,0.5,0.2,0.7023691021302011,0.689198606271777
260,0.5,0.0001,0.5,0.2,0.9374875572367112,0.934245893479343
261,0.6,0.0001,0.5,0.2,0.2976308978697989,0.310801393728223
262,0.4,0.0001,0.5,0.5,0.7023691021302011,0.689198606271777
263,0.5,0.0001,0.5,0.5,0.9374875572367112,0.934245893479343
264,0.6,0.0001,0.5,0.5,0.2976308978697989,0.310801393728223
265,0.4,0.0001,0.5,0.8,0.7023691021302011,0.689198606271777
266,0.5,0.0001,0.5,0.8,0.9374875572367112,0.934245893479343
267,0.6,0.0001,0.5,0.8,0.2976308978697989,0.310801393728223
268,0.4,0.0001,0.5,1.0,0.7023691021302011,0.689198606271777
269,0.5,0.0001,0.5,1.0,0.9374875572367112,0.934245893479343
270,0.6,0.0001,0.5,1.0,0.2976308978697989,0.310801393728223
271,0.4,0.0001,0.8,0.0,0.7023691021302011,0.689198606271777
272,0.5,0.0001,0.8,0.0,0.9374875572367112,0.934245893479343
273,0.6,0.0001,0.8,0.0,0.2976308978697989,0.310801393728223
274,0.4,0.0001,0.8,0.2,0.7023691021302011,0.689198606271777
275,0.5,0.0001,0.8,0.2,0.9374875572367112,0.934245893479343
276,0.6,0.0001,0.8,0.2,0.2976308978697989,0.310801393728223
277,0.4,0.0001,0.8,0.5,0.7023691021302011,0.689198606271777
278,0.5,0.0001,0.8,0.5,0.9374875572367112,0.934245893479343
279,0.6,0.0001,0.8,0.5,0.2976308978697989,0.310801393728223
280,0.4,0.0001,0.8,0.8,0.7023691021302011,0.689198606271777
281,0.5,0.0001,0.8,0.8,0.9374875572367112,0.934245893479343
282,0.6,0.0001,0.8,0.8,0.2976308978697989,0.310801393728223
283,0.4,0.0001,0.8,1.0,0.7023691021302011,0.689198606271777
284,0.5,0.0001,0.8,1.0,0.9374875572367112,0.934245893479343
285,0.6,0.0001,0.8,1.0,0.2976308978697989,0.310801393728223
286,0.4,0.0001,1.0,0.0,0.7023691021302011,0.689198606271777
287,0.5,0.0001,1.0,0.0,0.9374875572367112,0.934245893479343
288,0.6,0.0001,1.0,0.0,0.2976308978697989,0.310801393728223
289,0.4,0.0001,1.0,0.2,0.7023691021302011,0.689198606271777
290,0.5,0.0001,1.0,0.2,0.9374875572367112,0.934245893479343
291,0.6,0.0001,1.0,0.2,0.2976308978697989,0.310801393728223
292,0.4,0.0001,1.0,0.5,0.7023691021302011,0.689198606271777
293,0.5,0.0001,1.0,0.5,0.9374875572367112,0.934245893479343
294,0.6,0.0001,1.0,0.5,0.2976308978697989,0.310801393728223
295,0.4,0.0001,1.0,0.8,0.7023691021302011,0.689198606271777
296,0.5,0.0001,1.0,0.8,0.9374875572367112,0.934245893479343
297,0.6,0.0001,1.0,0.8,0.2976308978697989,0.310801393728223
298,0.4,0.0001,1.0,1.0,0.7023691021302011,0.689198606271777
299,0.5,0.0001,1.0,1.0,0.9374875572367112,0.934245893479343
300,0.6,0.0001,1.0,1.0,0.2976308978697989,0.310801393728223
301,0.4,2.5,0.0,0.0,0.7019709337049572,0.6885017421602787
302,0.5,2.5,0.0,0.0,0.7161059128011149,0.7129915380786461
303,0.6,2.5,0.0,0.0,0.4736213418275931,0.48377302140368345
304,0.4,2.5,0.0,0.2,0.2976308978697989,0.310801393728223
305,0.5,2.5,0.0,0.2,0.7003782600039817,0.6880537580886013
306,0.6,2.5,0.0,0.2,0.3000199084212622,0.3134892981582877
307,0.4,2.5,0.0,0.5,0.2976308978697989,0.310801393728223
308,0.5,2.5,0.0,0.5,0.7023691021302011,0.689198606271777
309,0.6,2.5,0.0,0.5,0.7023691021302011,0.689198606271777
310,0.4,2.5,0.0,0.8,0.35058729842723474,0.35455450472872074
311,0.5,2.5,0.0,0.8,0.7023691021302011,0.69258337481334
312,0.6,2.5,0.0,0.8,0.7023691021302011,0.689198606271777
313,0.4,2.5,0.0,1.0,0.7023691021302011,0.689198606271777
314,0.5,2.5,0.0,1.0,0.7141150706748954,0.7073668491786959
315,0.6,2.5,0.0,1.0,0.31355763487955407,0.326231956197113
316,0.4,2.5,0.2,0.0,0.7033645231933108,0.7007466401194624
317,0.5,2.5,0.2,0.0,0.6916185546486163,0.681483325037332
318,0.6,2.5,0.2,0.0,0.6983874178777623,0.6853658536585366
319,0.4,2.5,0.2,0.2,0.3412303404340036,0.35545047287207565
320,0.5,2.5,0.2,0.2,0.5144336054150905,0.5215530114484819
321,0.6,2.5,0.2,0.2,0.7023691021302011,0.689198606271777
322,0.4,2.5,0.2,0.5,0.6985865020903842,0.6867595818815331
323,0.5,2.5,0.2,0.5,0.6884332072466653,0.6879044300647088
324,0.6,2.5,0.2,0.5,0.7023691021302011,0.689198606271777
325,0.4,2.5,0.2,0.8,0.7005773442166037,0.6891488302638128
326,0.5,2.5,0.2,0.8,0.7069480390205056,0.6967147834743653
327,0.6,2.5,0.2,0.8,0.6967947441767868,0.6853160776505725
328,0.4,2.5,0.2,1.0,0.2976308978697989,0.310801393728223
329,0.5,2.5,0.2,1.0,0.6946048178379455,0.6856147336983573
330,0.6,2.5,0.2,1.0,0.7023691021302011,0.689198606271777
331,0.4,2.5,0.5,0.0,0.7023691021302011,0.689198606271777
332,0.5,2.5,0.5,0.0,0.7165040812263588,0.7117969138875062
333,0.6,2.5,0.5,0.0,0.7023691021302011,0.689198606271777
334,0.4,2.5,0.5,0.2,0.7023691021302011,0.689198606271777
335,0.5,2.5,0.5,0.2,0.2976308978697989,0.310801393728223
336,0.6,2.5,0.5,0.2,0.7011745968544695,0.6881533101045296
337,0.4,2.5,0.5,0.5,0.2980290662950428,0.31085116973618715
338,0.5,2.5,0.5,0.5,0.7023691021302011,0.689198606271777
339,0.6,2.5,0.5,0.5,0.7007764284292256,0.6986560477849676
340,0.4,2.5,0.5,0.8,0.3147521401552857,0.3286709805873569
341,0.5,2.5,0.5,0.8,0.7013736810670914,0.6882528621204579
342,0.6,2.5,0.5,0.8,0.6902249651602628,0.6854156296665007
343,0.4,2.5,0.5,1.0,0.2976308978697989,0.310801393728223
344,0.5,2.5,0.5,1.0,0.6850487756320923,0.676854156296665
345,0.6,2.5,0.5,1.0,0.7023691021302011,0.689198606271777
346,0.4,2.5,0.8,0.0,0.2976308978697989,0.310801393728223
347,0.5,2.5,0.8,0.0,0.682858849293251,0.6725734196117471
348,0.6,2.5,0.8,0.0,0.6967947441767868,0.6853658536585366
349,0.4,2.5,0.8,0.2,0.6557833963766674,0.6532105525136884
350,0.5,2.5,0.8,0.2,0.4399761098944854,0.444449975111996
351,0.6,2.5,0.8,0.2,0.6950029862631893,0.6825783972125435
352,0.4,2.5,0.8,0.5,0.6932112283495919,0.6885515181682429
353,0.5,2.5,0.8,0.5,0.7081425442962374,0.6969636635141861
354,0.6,2.5,0.8,0.5,0.2976308978697989,0.310801393728223
355,0.4,2.5,0.8,0.8,0.7023691021302011,0.689198606271777
356,0.5,2.5,0.8,0.8,0.3053951821620545,0.3183673469387755
357,0.6,2.5,0.8,0.8,0.7081425442962374,0.7019910403185664
358,0.4,2.5,0.8,1.0,0.4093171411507068,0.41458437033349926
359,0.5,2.5,0.8,1.0,0.30400159267370097,0.31637630662020905
360,0.6,2.5,0.8,1.0,0.558630300617161,0.5572921851667496
361,0.4,2.5,1.0,0.0,0.5106510053752737,0.5070184171229467
362,0.5,2.5,1.0,0.0,0.604618753732829,0.6057740169238427
363,0.6,2.5,1.0,0.0,0.5644037427831973,0.5603285216525634
364,0.4,2.5,1.0,0.2,0.2976308978697989,0.310801393728223
365,0.5,2.5,1.0,0.2,0.4736213418275931,0.486112493777999
366,0.6,2.5,1.0,0.2,0.695998407326299,0.6843205574912892
367,0.4,2.5,1.0,0.5,0.5743579534142943,0.5790940766550523
368,0.5,2.5,1.0,0.5,0.7401951025283695,0.7366849178695869
369,0.6,2.5,1.0,0.5,0.5106510053752737,0.5070184171229467
370,0.4,2.5,1.0,0.8,0.7023691021302011,0.689198606271777
371,0.5,2.5,1.0,0.8,0.696197491538921,0.68456943753111
372,0.6,2.5,1.0,0.8,0.5395182162054549,0.544449975111996
373,0.4,2.5,1.0,1.0,0.2976308978697989,0.310801393728223
374,0.5,2.5,1.0,1.0,0.7017718494923353,0.6884519661523146
375,0.6,2.5,1.0,1.0,0.7163049970137368,0.7111000497760079
376,0.4,0.25,0.0,0.0,0.9948238104718296,1.0
377,0.5,0.25,0.0,0.0,0.9944256420465857,1.0
378,0.6,0.25,0.0,0.0,0.9944256420465857,1.0
379,0.4,0.25,0.0,0.2,0.9948238104718296,1.0
380,0.5,0.25,0.0,0.2,0.9944256420465857,1.0
381,0.6,0.25,0.0,0.2,0.9946247262592076,1.0
382,0.4,0.25,0.0,0.5,0.9950228946844515,1.0
383,0.5,0.25,0.0,0.5,0.9946247262592076,1.0
384,0.6,0.25,0.0,0.5,0.9948238104718296,1.0
385,0.4,0.25,0.0,0.8,0.9946247262592076,1.0
386,0.5,0.25,0.0,0.8,0.9944256420465857,1.0
387,0.6,0.25,0.0,0.8,0.9946247262592076,1.0
388,0.4,0.25,0.0,1.0,0.9946247262592076,1.0
389,0.5,0.25,0.0,1.0,0.9944256420465857,1.0
390,0.6,0.25,0.0,1.0,0.9942265578339637,1.0
391,0.4,0.25,0.2,0.0,0.9948238104718296,1.0
392,0.5,0.25,0.2,0.0,0.9946247262592076,1.0
