model_id,base_score,lr,reg_alpha,reg_lambda,test_accuracy
225,0.6,0.001,1.0,1.0,0.9753135576348796
226,0.4,0.0001,0.0,0.0,0.7023691021302011
227,0.5,0.0001,0.0,0.0,0.9370893888114673
228,0.6,0.0001,0.0,0.0,0.2976308978697989
229,0.4,0.0001,0.0,0.2,0.7023691021302011
230,0.5,0.0001,0.0,0.2,0.9370893888114673
231,0.6,0.0001,0.0,0.2,0.2976308978697989
232,0.4,0.0001,0.0,0.5,0.7023691021302011
233,0.5,0.0001,0.0,0.5,0.9374875572367112
234,0.6,0.0001,0.0,0.5,0.2976308978697989
235,0.4,0.0001,0.0,0.8,0.7023691021302011
236,0.5,0.0001,0.0,0.8,0.9374875572367112
237,0.6,0.0001,0.0,0.8,0.2976308978697989
238,0.4,0.0001,0.0,1.0,0.7023691021302011
239,0.5,0.0001,0.0,1.0,0.9374875572367112
240,0.6,0.0001,0.0,1.0,0.2976308978697989
241,0.4,0.0001,0.2,0.0,0.7023691021302011
242,0.5,0.0001,0.2,0.0,0.9374875572367112
243,0.6,0.0001,0.2,0.0,0.2976308978697989
244,0.4,0.0001,0.2,0.2,0.7023691021302011
245,0.5,0.0001,0.2,0.2,0.9374875572367112
246,0.6,0.0001,0.2,0.2,0.2976308978697989
247,0.4,0.0001,0.2,0.5,0.7023691021302011
248,0.5,0.0001,0.2,0.5,0.9374875572367112
249,0.6,0.0001,0.2,0.5,0.2976308978697989
250,0.4,0.0001,0.2,0.8,0.7023691021302011
251,0.5,0.0001,0.2,0.8,0.9374875572367112
252,0.6,0.0001,0.2,0.8,0.2976308978697989
253,0.4,0.0001,0.2,1.0,0.7023691021302011
254,0.5,0.0001,0.2,1.0,0.9374875572367112
255,0.6,0.0001,0.2,1.0,0.2976308978697989
256,0.4,0.0001,0.5,0.0,0.7023691021302011
257,0.5,0.0001,0.5,0.0,0.9374875572367112
258,0.6,0.0001,0.5,0.0,0.2976308978697989
259,0.4,0.0001,0.5,0.2,0.7023691021302011
260,0.5,0.0001,0.5,0.2,0.9374875572367112
261,0.6,0.0001,0.5,0.2,0.2976308978697989
262,0.4,0.0001,0.5,0.5,0.7023691021302011
263,0.5,0.0001,0.5,0.5,0.9374875572367112
264,0.6,0.0001,0.5,0.5,0.2976308978697989
265,0.4,0.0001,0.5,0.8,0.7023691021302011
266,0.5,0.0001,0.5,0.8,0.9374875572367112
267,0.6,0.0001,0.5,0.8,0.2976308978697989
268,0.4,0.0001,0.5,1.0,0.7023691021302011
269,0.5,0.0001,0.5,1.0,0.9374875572367112
270,0.6,0.0001,0.5,1.0,0.2976308978697989
271,0.4,0.0001,0.8,0.0,0.7023691021302011
272,0.5,0.0001,0.8,0.0,0.9374875572367112
273,0.6,0.0001,0.8,0.0,0.2976308978697989
274,0.4,0.0001,0.8,0.2,0.7023691021302011
275,0.5,0.0001,0.8,0.2,0.9374875572367112
276,0.6,0.0001,0.8,0.2,0.2976308978697989
277,0.4,0.0001,0.8,0.5,0.7023691021302011
278,0.5,0.0001,0.8,0.5,0.9374875572367112
279,0.6,0.0001,0.8,0.5,0.2976308978697989
280,0.4,0.0001,0.8,0.8,0.7023691021302011
281,0.5,0.0001,0.8,0.8,0.9374875572367112
282,0.6,0.0001,0.8,0.8,0.2976308978697989
283,0.4,0.0001,0.8,1.0,0.7023691021302011
284,0.5,0.0001,0.8,1.0,0.9374875572367112
285,0.6,0.0001,0.8,1.0,0.2976308978697989
286,0.4,0.0001,1.0,0.0,0.7023691021302011
287,0.5,0.0001,1.0,0.0,0.9374875572367112
288,0.6,0.0001,1.0,0.0,0.2976308978697989
289,0.4,0.0001,1.0,0.2,0.7023691021302011
290,0.5,0.0001,1.0,0.2,0.9374875572367112
291,0.6,0.0001,1.0,0.2,0.2976308978697989
292,0.4,0.0001,1.0,0.5,0.7023691021302011
293,0.5,0.0001,1.0,0.5,0.9374875572367112
294,0.6,0.0001,1.0,0.5,0.2976308978697989
295,0.4,0.0001,1.0,0.8,0.7023691021302011
296,0.5,0.0001,1.0,0.8,0.9374875572367112
297,0.6,0.0001,1.0,0.8,0.2976308978697989
298,0.4,0.0001,1.0,1.0,0.7023691021302011
299,0.5,0.0001,1.0,1.0,0.9374875572367112
300,0.6,0.0001,1.0,1.0,0.2976308978697989
301,0.4,2.5,0.0,0.0,0.7019709337049572
302,0.5,2.5,0.0,0.0,0.7161059128011149
303,0.6,2.5,0.0,0.0,0.4736213418275931
304,0.4,2.5,0.0,0.2,0.2976308978697989
305,0.5,2.5,0.0,0.2,0.7003782600039817
306,0.6,2.5,0.0,0.2,0.3000199084212622
307,0.4,2.5,0.0,0.5,0.2976308978697989
308,0.5,2.5,0.0,0.5,0.7023691021302011
309,0.6,2.5,0.0,0.5,0.7023691021302011
310,0.4,2.5,0.0,0.8,0.35058729842723474
311,0.5,2.5,0.0,0.8,0.7023691021302011
312,0.6,2.5,0.0,0.8,0.7023691021302011
313,0.4,2.5,0.0,1.0,0.7023691021302011
314,0.5,2.5,0.0,1.0,0.7141150706748954
315,0.6,2.5,0.0,1.0,0.31355763487955407
316,0.4,2.5,0.2,0.0,0.7033645231933108
317,0.5,2.5,0.2,0.0,0.6916185546486163
318,0.6,2.5,0.2,0.0,0.6983874178777623
319,0.4,2.5,0.2,0.2,0.3412303404340036
320,0.5,2.5,0.2,0.2,0.5144336054150905
321,0.6,2.5,0.2,0.2,0.7023691021302011
322,0.4,2.5,0.2,0.5,0.6985865020903842
323,0.5,2.5,0.2,0.5,0.6884332072466653
